Problem,Dim,Time,Alg1,Alg2,Winner,F1,F2
rastrigin,5,2.0,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,0.9949590570932827
ackley,5,2.0,random_search,probabilistic_descent,1,5.2117471572014695,7.029044013506791e-11
rastrigin,5,2.0,generating_set_search,probabilistic_descent,0,0.0,0.9949590570932898
griewank,11,3.2,probabilistic_descent,adaptive_de_rand_1_bin_radiuslimited,1,3.3306690738754696e-16,0.0
rosenbrock,15,4.0,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,2.5713337869333844e6
ackley,12,3.4,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,0.0,3.552713678800501e-15
griewank,30,7.0,random_search,probabilistic_descent,1,259.86728993430364,9.325873406851315e-15
rastrigin,16,4.2,generating_set_search,probabilistic_descent,0,0.0,32.83359846045096
ackley,190,39.0,de_rand_2_bin,probabilistic_descent,0,15.225463917204472,19.26158758691411
griewank,208,42.6,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,0,0.0,2.220446049250313e-16
ackley,77,16.4,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,3.552713678800501e-15,3.3141639830333527
griewank,8,2.6,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,0.009864672061012603
rastrigin,13,3.6,de_rand_2_bin,generating_set_search,1,11.30662991620001,0.0
rosenbrock,6,2.2,random_search,adaptive_de_rand_1_bin_radiuslimited,1,802.3186584782488,0.0
rastrigin,9,2.8,adaptive_de_rand_1_bin_radiuslimited,random_search,0,0.0,25.87811926221775
rosenbrock,10,3.0,de_rand_2_bin,probabilistic_descent,0,0.0,4.169845263536949e-12
deceptive_cuccu2011_15_2,13,3.6,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,7.403372909152043e-21,0.0
rastrigin,8,2.6,de_rand_2_bin,random_search,0,0.0,22.398137329447366
rosenbrock,24,5.8,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,0.0,4.2886938386422836e-23
rosenbrock,85,18.0,generating_set_search,de_rand_2_bin,0,6.006969166521945e-16,246776.9193636622
griewank,144,29.8,probabilistic_descent,de_rand_2_bin,0,3.801403636316536e-13,300.5691539377383
rosenbrock,8,2.6,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,1.1097043522799465e-12
rosenbrock,79,16.8,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,1.4060765637898317e-15,2.968089155894057e-29
rosenbrock,262,53.4,random_search,adaptive_de_rand_1_bin_radiuslimited,1,2.5133624424141154e9,3.986757519992818
griewank,20,5.0,generating_set_search,adaptive_de_rand_1_bin_radiuslimited,1,0.0,0.0
rosenbrock,177,36.4,de_rand_2_bin,probabilistic_descent,1,7.294377095211358e7,0.00017329433611167395
deceptive_cuccu2011_15_2,7,2.4,random_search,generating_set_search,1,46.193590612818134,1.7452143734256827e-21
rosenbrock,11,3.2,adaptive_de_rand_1_bin_radiuslimited,probabilistic_descent,0,0.0,1.9488513998915995e-12
ackley,35,8.0,random_search,probabilistic_descent,1,19.183939455264188,17.38542989312722
griewank,11,3.2,adaptive_de_rand_1_bin_radiuslimited,de_rand_2_bin,0,0.00985728460782076,0.13131589556152357
griewank,151,31.2,random_search,de_rand_2_bin,1,2896.325983415334,290.2056187670627
ackley,87,18.4,generating_set_search,de_rand_2_bin,0,1.1874590200022794e-10,5.050863177152259
ackley,28,6.6,de_rand_2_bin,random_search,0,3.552713678800501e-15,18.49683761187383
griewank,71,15.2,adaptive_de_rand_1_bin_radiuslimited,generating_set_search,1,0.012316072519261478,0.0
griewank,60,13.0,de_rand_2_bin,probabilistic_descent,1,0.0004704975260981792,4.463096558993129e-14
