N,PriorParam,Time,NumBadRhat,MaxRhatDiff,PsisLoo_elpd,PsisLoo_peff,prob_ADE_vs_GSS,std_ADE_vs_GSS
550,1.0,2.0592429637908936,0,0.0033299447186416753,-134.52855609149415,3.018917927218599,0.63,0.48
550,5.0,2.829648017883301,0,0.003788718916349243,-134.306208635432,3.124075598568327,0.63,0.48
600,0.1,1.3085720539093018,0,0.0009635157116270054,-150.28734880604128,2.818114010565158,0.62,0.49
600,0.5,2.0158300399780273,0,0.004495201633924806,-148.77439452427086,2.9640003917830042,0.61,0.49
600,1.0,2.5073859691619873,0,0.004357705969031844,-148.5568297407586,3.0243366205899576,0.6,0.49
600,5.0,3.3681249618530273,0,0.005572819809640084,-148.2801199090221,3.06321450246137,0.61,0.49
650,0.1,1.448883056640625,0,0.002496655288373173,-169.59555523569486,2.798467822935825,0.62,0.49
650,0.5,2.2451179027557373,0,0.004505203422778825,-168.16319362394972,2.996178062291841,0.61,0.49
650,1.0,2.6290810108184814,0,0.001551343910290992,-167.95078367002142,3.045918086801869,0.63,0.48
650,5.0,3.7943780422210693,0,0.0028900940784712947,-167.65886415538773,3.0752638805762977,0.62,0.48
700,0.1,1.7145531177520752,0,0.0032978634842653065,-182.07046227612582,2.873629168869417,0.61,0.49
700,0.5,2.496332883834839,0,0.0011826436251500816,-180.60626393275845,3.0029774634845445,0.62,0.49
700,1.0,2.9980170726776123,0,0.004992649467834731,-180.3055570337486,3.0144653938462347,0.61,0.49
700,5.0,4.10135817527771,0,0.00689222169642334,-179.9816947255246,3.007159701026234,0.61,0.49
750,0.1,1.7729830741882324,0,0.002566469760993284,-193.93031022266004,2.9148763205935064,0.62,0.49
750,0.5,2.617011070251465,0,0.002552664566752405,-192.45206094530707,2.9836305514850463,0.63,0.48
750,1.0,3.2113139629364014,0,0.0037619947276317234,-192.19860928966318,3.0265810372110447,0.62,0.49
750,5.0,4.576704978942871,0,0.006644555307852462,-191.87925173649845,3.0325159453560975,0.62,0.49
800,0.1,2.0275659561157227,0,0.0022381889648264153,-200.48000397022497,2.842164348684014,0.61,0.49
800,0.5,2.903308868408203,0,0.0018969775015738044,-199.05453817558592,3.0247081610346838,0.61,0.49
800,1.0,3.3461899757385254,0,0.0036995400110722,-198.71433717758595,2.9658972016981737,0.61,0.49
800,5.0,5.129903078079224,0,0.005000861582629357,-198.4582637026321,3.0124356529752414,0.6,0.49
850,0.1,2.0302538871765137,0,0.003255530360228187,-213.74120036790512,2.8165025442917604,0.61,0.49
850,0.5,3.2524709701538086,0,0.003136520220814676,-212.34168831508737,2.9926839808785717,0.6,0.49
